benchmark,task1_CPI,task2_CPI_stall,task2_CPI_fw,task2_speedup,task3_CPI_stall,task3_CPI_fw,task4_CPI,task4_speedup,task5_CPI,task5_speedup
fpppp,,,,,,,,,,
go,,,,,,,,,,
gcc,,,,,,,,,,
vpr,,,,,,,,,,

